city,country,date,lat,long,temp,humidity,windSpeed,weather,cloudiness
hobart,AU,1570343702,-42.88,147.33,58.24,76,8.05,Rain,75
vaini,IN,1570343702,15.34,74.49,74.98,65,4.7,Clouds,75
olinda,AU,1570343702,-37.84,145.39,68.88,46,20.8,Rain,90
beringovskiy,RU,1570343703,63.05,179.32,26.39,55,4.21,Clear,0
georgetown,GY,1570343703,6.8,-58.16,75.2,100,2.24,Clouds,20
luderitz,NA,1570343703,-26.65,15.16,57.2,76,9.17,Clear,0
mount gambier,AU,1570343703,-37.83,140.78,53.6,93,12.75,Rain,75
potrerillos,HN,1570343704,15.23,-87.96,79.16,69,11.41,Thunderstorm,75
panguipulli,CL,1570343704,-39.64,-72.33,46.72,100,2.24,Rain,90
guane,CU,1570343704,22.2,-84.09,79.46,85,11.7,Rain,100
chuy,UY,1570343704,-33.69,-53.46,51.29,82,7.07,Clouds,81
kabelvag,NO,1570343704,68.21,14.48,44.01,77,5.99,Rain,100
namwala,ZM,1570343705,-15.75,26.45,78.57,38,14.63,Clear,0
aklavik,CA,1570343705,68.22,-135.01,32.0,65,5.82,Snow,90
tabou,CI,1570343705,4.42,-7.36,74.47,94,3.11,Rain,100
yellowknife,CA,1570343705,62.45,-114.38,39.09,93,3.36,Snow,90
ushuaia,AR,1570343706,-54.81,-68.31,37.4,96,6.93,Clouds,20
salalah,OM,1570343706,17.01,54.1,84.2,70,12.75,Clouds,40
bredasdorp,ZA,1570343706,-34.53,20.04,61.95,62,4.7,Clouds,34
east london,ZA,1570343706,-33.02,27.91,66.2,82,11.41,Clouds,20
sobolevo,RU,1570343706,54.43,31.9,34.08,81,12.28,Clouds,100
punta arenas,CL,1570343707,-53.16,-70.91,42.39,87,8.05,Rain,75
calama,CL,1570343707,-22.46,-68.93,37.94,29,18.34,Clear,0
samfya,ZM,1570343707,-11.37,29.56,75.87,46,11.99,Clear,0
batticaloa,LK,1570343707,7.71,81.69,88.2,58,2.1,Rain,60
hirara,JP,1570343708,24.8,125.28,83.32,65,16.11,Clouds,20
salihorsk,BY,1570343708,52.79,27.54,35.91,84,11.91,Clouds,33
ponta do sol,BR,1570343708,-20.63,-46.0,65.85,77,4.71,Clouds,58
kapaa,US,1570343708,22.08,-159.32,76.08,69,4.7,Clear,1
slupsk,PL,1570343708,54.46,17.03,43.2,79,4.83,Rain,60
alofi,NU,1570343709,-19.06,-169.92,73.4,69,9.17,Clouds,29
hilo,US,1570343709,19.71,-155.08,68.65,83,0.89,Rain,90
lavrentiya,RU,1570343709,65.58,-170.99,31.25,98,4.38,Clouds,100
katsuura,JP,1570343709,33.93,134.5,75.06,50,14.99,Clouds,40
santa rosa,AR,1570343682,-36.62,-64.29,48.17,30,8.9,Clouds,20
jadu,LY,1570343710,31.95,12.03,66.35,55,9.69,Clear,0
zhanakorgan,KZ,1570343710,43.91,67.25,74.94,17,4.79,Clouds,30
provideniya,RU,1570343710,64.42,-173.23,28.61,80,5.23,Clouds,16
chingola,ZM,1570343710,-12.55,27.86,74.49,50,13.11,Clear,0
montoro,ES,1570343711,38.02,-4.38,60.96,82,1.28,Clear,0
peleduy,RU,1570343711,59.63,112.75,35.64,79,9.75,Clouds,100
muros,ES,1570343711,42.77,-9.06,58.14,100,1.12,Fog,75
nikolskoye,RU,1570343711,59.7,30.79,33.01,83,4.47,Clouds,20
hobyo,SO,1570343712,5.35,48.53,86.62,57,13.47,Rain,56
bramsche,DE,1570343712,52.41,7.98,44.29,75,5.82,Clear,0
barwadih,IN,1570343712,26.9,84.87,86.96,55,4.52,Clear,0
along,IN,1570343712,28.17,94.8,67.41,82,4.85,Rain,7
pacific grove,US,1570343538,36.62,-121.92,58.42,36,11.41,Clear,1
kawambwa,ZM,1570343713,-9.8,29.07,73.23,54,11.41,Clear,0
khash,IR,1570343713,28.22,61.21,65.69,44,6.44,Clear,0
port alfred,ZA,1570343713,-33.59,26.89,66.0,83,8.99,Clouds,36
palana,RU,1570343713,59.08,159.95,41.37,67,32.39,Clouds,100
albany,US,1570343713,42.65,-73.75,38.17,70,6.93,Clouds,40
carnarvon,ZA,1570343714,-30.97,22.13,67.2,16,5.14,Clouds,14
shepsi,RU,1570343714,44.04,39.15,63.87,85,5.77,Rain,100
port elizabeth,US,1570343714,39.31,-74.98,57.02,81,5.73,Clouds,90
tiarei,PF,1570343714,-17.53,-149.33,77.0,83,3.36,Clouds,40
avarua,CK,1570343715,-21.21,-159.78,68.0,56,4.7,Clouds,100
arraial do cabo,BR,1570343715,-22.97,-42.02,70.13,86,11.68,Clear,0
yar-sale,RU,1570343715,66.83,70.83,40.22,96,18.81,Rain,100
thongwa,MM,1570343715,16.76,96.52,86.0,74,11.41,Clouds,75
berlevag,NO,1570343716,70.86,29.09,42.7,80,21.1,Rain,100
mar del plata,AR,1570343716,-46.43,-67.52,45.53,54,11.72,Clouds,37
tuktoyaktuk,CA,1570343716,69.44,-133.03,32.0,79,9.17,Clouds,75
ribeira grande,PT,1570343716,38.52,-28.7,71.6,94,11.41,Clouds,75
harper,US,1570343716,30.3,-99.24,73.76,60,9.24,Clear,1
moree,AU,1570343717,-29.46,149.84,95.0,13,5.82,Clear,0
asmar,AF,1570343717,35.03,71.36,65.18,27,0.68,Clouds,100
ibra,OM,1570343717,22.69,58.55,79.2,57,6.49,Clear,0
galle,GN,1570343717,10.08,-12.83,69.65,97,1.41,Clouds,100
lasa,CY,1570343718,34.92,32.53,76.26,61,18.34,Clouds,40
grand gaube,MU,1570343718,-20.01,57.66,79.36,65,9.17,Clouds,75
medea,DZ,1570343718,36.27,2.77,55.4,76,3.36,Clouds,20
fuyu,CN,1570343718,47.79,124.46,65.27,24,15.84,Clear,0
isangel,VU,1570343718,-19.55,169.27,78.8,69,5.82,Clouds,75
iqaluit,CA,1570343719,63.75,-68.52,32.0,82,5.82,Snow,90
mataura,NZ,1570343719,-46.19,168.86,51.01,81,8.99,Clouds,75
odesskoye,RU,1570343719,54.21,72.97,62.0,41,6.02,Clouds,79
mahebourg,MU,1570343719,-20.41,57.7,79.09,65,9.17,Clouds,75
leningradskiy,RU,1570343720,69.38,178.42,32.37,96,31.7,Snow,100
kavaratti,IN,1570343720,10.57,72.64,86.0,74,4.79,Clouds,40
thompson,CA,1570343720,55.74,-97.86,41.0,93,4.7,Clouds,90
faanui,PF,1570343720,-16.48,-151.75,78.83,80,13.11,Clouds,34
uni,RU,1570343720,57.75,51.49,41.8,76,6.26,Clouds,97
khatanga,RU,1570343721,71.98,102.47,24.86,84,3.87,Clouds,42
corridonia,IT,1570343658,43.25,13.51,55.63,100,2.24,Clouds,40
arenapolis,BR,1570343721,-14.45,-56.85,70.1,96,7.83,Rain,90
elat,CM,1570343721,2.91,11.16,67.86,98,1.73,Rain,100
kahului,US,1570343721,20.89,-156.47,74.53,74,5.82,Clouds,40
moramanga,MG,1570343722,-18.95,48.23,61.01,90,4.85,Clouds,93
lerwick,GB,1570343722,60.15,-1.15,50.9,76,21.92,Clouds,98
petropavlovsk-kamchatskiy,RU,1570343722,53.05,158.65,37.4,93,6.71,Clouds,40
luwuk,ID,1570343722,-0.95,122.79,71.28,86,3.29,Rain,94
olbia,IT,1570343723,40.92,9.49,64.4,72,2.24,Clear,0
prince rupert,CA,1570343723,54.32,-130.32,51.8,76,9.17,Clouds,90
celestun,MX,1570343723,20.87,-90.4,82.93,73,2.44,Clouds,28
havoysund,NO,1570343723,71.0,24.66,41.0,86,29.97,Drizzle,100
qaanaaq,GL,1570343724,77.48,-69.36,24.41,96,4.94,Clouds,100
hay river,CA,1570343724,60.82,-115.79,33.8,80,6.93,Clouds,20
rohnert park,US,1570343724,38.34,-122.7,57.0,66,3.36,Clear,1
hasaki,JP,1570343724,35.73,140.83,68.79,77,19.46,Clouds,75
yulara,AU,1570343724,-25.24,130.99,100.4,8,11.41,Clear,0
kodiak,US,1570343725,39.95,-94.76,47.64,93,5.23,Mist,1
sisimiut,GL,1570343725,66.94,-53.67,36.63,76,17.94,Clouds,100
severo-kurilsk,RU,1570343725,50.68,156.12,43.62,72,41.72,Rain,100
torbay,CA,1570343725,47.66,-52.73,38.03,75,16.11,Clear,5
honiara,SB,1570343725,-9.43,159.96,87.8,66,5.82,Clouds,40
bedi,NG,1570343726,13.39,4.96,74.63,86,12.97,Rain,100
upington,ZA,1570343726,-28.46,21.24,66.2,30,3.36,Clear,0
shimoda,JP,1570343726,34.7,138.93,73.9,78,18.34,Rain,75
talnakh,RU,1570343726,69.49,88.39,35.6,69,11.18,Clouds,75
quang ngai,VN,1570343727,15.12,108.8,81.35,75,4.83,Rain,88
victoria,BN,1570343702,5.28,115.24,89.28,62,9.17,Clouds,75
sola,TZ,1570343727,-3.17,33.8,74.24,55,8.68,Clouds,94
pouembout,NC,1570343727,-21.12,164.9,71.91,76,15.17,Clear,10
corrales,CO,1570343727,5.83,-72.84,44.3,94,2.13,Clouds,82
kaitangata,NZ,1570343728,-46.28,169.85,50.0,69,8.99,Clouds,99
lampa,CL,1570343728,-33.29,-70.87,47.17,57,0.65,Clear,0
fonte boa,BR,1570343728,-2.51,-66.09,72.89,93,1.3,Clouds,78
boa vista,BR,1570343728,2.82,-60.67,78.8,78,6.93,Clear,0
cherskiy,RU,1570343584,68.75,161.3,16.91,90,8.01,Clouds,88
longyearbyen,NO,1570343729,78.22,15.63,32.0,90,4.7,Clouds,40
castro,CL,1570343729,-42.48,-73.76,44.6,100,14.99,Rain,90
aripuana,BR,1570343729,-9.17,-60.63,73.28,82,2.36,Clouds,90
poum,MK,1570343729,41.28,20.71,51.8,81,2.24,Clear,0
roma,IT,1570343729,41.89,12.48,59.65,87,2.24,Clouds,20
narsaq,GL,1570343730,60.91,-46.05,41.0,65,1.12,Clouds,60
plouzane,FR,1570343452,48.38,-4.62,54.23,93,6.93,Clouds,20
bullhead city,US,1570343730,35.15,-114.57,64.04,10,1.25,Clear,1
papetoai,PF,1570343730,-17.5,-149.87,77.0,83,3.36,Clouds,40
kalengwa,ZM,1570343730,-13.47,25.0,78.02,39,10.13,Clouds,36
upernavik,GL,1570343731,72.79,-56.15,32.66,97,17.87,Clouds,100
grindavik,IS,1570343731,63.84,-22.43,49.15,100,17.22,Drizzle,75
vardo,US,1570343731,39.62,-77.74,57.31,62,12.75,Clouds,90
port augusta,AU,1570343731,-32.49,137.76,75.11,64,14.99,Clear,0
zyryanka,RU,1570343732,65.73,150.89,26.93,58,8.77,Clear,0
college,US,1570343732,64.86,-147.8,30.45,96,6.93,Clouds,20
ancud,CL,1570343732,-41.87,-73.83,44.6,100,14.99,Rain,90
camapua,BR,1570343732,-19.53,-54.04,68.01,94,12.55,Clouds,95
buraydah,SA,1570343732,26.33,43.97,89.6,33,10.29,Clear,0
songling,CN,1570343733,31.19,120.72,76.46,50,4.47,Clear,0
meulaboh,ID,1570343733,4.14,96.13,80.36,76,7.45,Clear,6
laguna,BZ,1570343733,16.17,-88.94,77.0,94,1.66,Thunderstorm,40
kalabo,ZM,1570343733,-15.0,22.67,79.11,36,7.61,Clear,1
sahuaripa,MX,1570343734,29.05,-109.23,72.26,79,2.28,Rain,33
hofn,IS,1570343734,64.25,-15.21,39.42,100,11.07,Rain,100
hazorasp,UZ,1570343734,41.32,61.08,69.8,19,2.24,Clear,0
san francisco del mar,MX,1570343735,16.34,-94.51,76.76,80,4.94,Clouds,100
ahipara,NZ,1570343735,-35.17,173.16,64.0,90,9.89,Rain,97
lata,IN,1570343735,30.78,78.62,45.2,50,9.33,Clouds,54
ilulissat,GL,1570343735,69.22,-51.1,35.6,94,12.75,Rain,100
thinadhoo,MV,1570343603,0.53,72.93,82.28,73,9.86,Clouds,38
plettenberg bay,ZA,1570343736,-34.05,23.37,58.81,76,4.18,Rain,74
lebu,ET,1570343736,8.96,38.73,66.2,42,11.41,Clouds,40
ixtapa,MX,1570343736,20.71,-105.21,82.71,88,10.83,Clouds,90
lhokseumawe,ID,1570343736,5.18,97.15,81.02,72,4.18,Rain,92
anage,BR,1570343736,-14.61,-41.14,63.9,84,5.75,Clear,0
kushima,JP,1570343737,31.5,131.29,80.38,61,11.41,Clouds,40
ravar,IR,1570343737,31.27,56.81,70.71,15,3.29,Clear,0
invermere,CA,1570343737,50.51,-116.03,35.01,79,6.96,Clouds,20
pachino,IT,1570343737,36.72,15.09,61.11,93,3.36,Clouds,75
nouakchott,MR,1570343737,18.08,-15.98,78.8,78,9.17,Clear,5
artyom,RU,1570343738,43.36,132.19,59.0,26,8.95,Clear,0
tiksi,RU,1570343738,71.64,128.87,20.97,72,3.47,Clouds,92
ahuimanu,US,1570343738,21.44,-157.84,77.09,74,8.05,Rain,90
barrow,AR,1570343738,-38.31,-60.23,40.23,86,7.34,Clouds,51
dunmore east,IE,1570343739,52.15,-6.99,51.39,90,8.99,Clear,4
chara,GR,1570343739,39.42,22.43,61.47,63,1.34,Clouds,40
tasiilaq,GL,1570343739,65.61,-37.64,41.0,80,27.51,Rain,100
ornskoldsvik,SE,1570343739,63.29,18.72,29.84,69,8.05,Clouds,70
geraldton,CA,1570343740,49.72,-86.95,48.2,93,11.41,Rain,90
pishva,IR,1570343740,35.31,51.73,73.4,13,4.7,Clouds,20
uglovskoye,RU,1570343740,51.36,80.19,65.94,40,5.53,Clear,2
sibolga,ID,1570343740,1.74,98.78,79.83,87,4.56,Rain,82
saldanha,PT,1570343740,41.42,-6.55,53.61,70,1.41,Clouds,33
maragogi,BR,1570343741,-9.01,-35.22,67.99,93,2.04,Clouds,33
sorong,ID,1570343741,-0.86,131.25,82.21,79,7.29,Rain,32
wanaka,NZ,1570343741,-44.7,169.14,41.04,82,6.66,Clouds,49
mackay,CA,1570343741,53.65,-115.58,46.4,45,8.05,Clouds,90
jamestown,AU,1570343742,-33.21,138.6,70.31,44,15.79,Clear,0
chifeng,CN,1570343742,42.27,118.96,58.22,27,6.35,Clouds,100
baiima,SL,1570343742,8.11,-11.85,72.44,99,2.04,Clouds,100
san patricio,PY,1570343742,-26.98,-56.83,59.28,96,5.61,Clouds,100
abalak,NE,1570343743,15.46,6.28,77.55,70,17.87,Rain,84
puerto ayora,EC,1570343743,-0.74,-90.35,64.99,97,1.99,Clouds,22
baiyin,CN,1570343743,36.55,104.13,46.4,87,6.71,Clouds,90
encruzilhada do sul,BR,1570343743,-30.54,-52.52,53.77,89,4.12,Clouds,100
bajram curri,AL,1570343744,42.36,20.08,57.2,67,8.05,Clear,0
podgornoye,RU,1570343744,57.79,82.64,58.43,81,6.2,Clouds,55
borogontsy,RU,1570343744,62.67,131.17,31.88,54,8.97,Clouds,66
san juan,AR,1570343744,-31.54,-68.53,56.61,47,9.8,Clear,0
itarema,BR,1570343745,-2.92,-39.92,77.69,73,8.17,Rain,77
west bend,US,1570343745,43.43,-88.18,55.89,93,14.99,Clouds,90
fort carson,US,1570343745,38.74,-104.79,41.99,39,3.36,Clear,1
vanavara,RU,1570343745,60.35,102.28,36.13,71,10.02,Clouds,99
cockburn town,TC,1570343549,21.46,-71.14,83.18,71,8.5,Rain,94
naze,NG,1570343746,5.43,7.07,75.2,94,4.32,Clouds,75
bo phloi,TH,1570343746,14.32,99.52,85.67,64,2.62,Rain,82
chokurdakh,RU,1570343746,70.62,147.9,16.85,86,8.12,Clouds,36
ankang,CN,1570343746,32.73,108.99,51.2,96,2.77,Rain,100
dingle,PH,1570343747,11.0,122.67,79.89,85,4.29,Rain,70
rehoboth,NA,1570343747,-23.31,17.08,74.02,18,2.44,Clouds,55
palmer,AU,1570343747,-34.85,139.16,61.0,82,8.05,Clouds,75
yorkton,CA,1570343747,51.21,-102.46,48.2,81,20.8,Clouds,90
buala,SB,1570343747,-8.15,159.59,82.71,79,8.14,Rain,94
san quintin,PH,1570343748,17.54,120.52,83.11,74,6.67,Clouds,38
husavik,CA,1570343748,50.56,-96.99,42.08,97,13.53,Clouds,100
richards bay,ZA,1570343748,-28.77,32.06,74.13,68,22.28,Clear,0
gull lake,CA,1570343748,50.1,-108.48,44.6,70,11.41,Clouds,90
saint-augustin,CA,1570343748,45.63,-73.98,40.32,93,4.7,Clouds,75
puerto madero,AR,1570343749,-34.61,-58.36,49.69,66,4.7,Clear,0
saint george,GR,1570343543,39.45,22.34,61.54,63,1.34,Clouds,40
cabo san lucas,MX,1570343749,22.89,-109.91,75.96,79,5.56,Clear,0
catalao,BR,1570343749,-18.17,-47.95,76.32,52,11.1,Clouds,83
samarai,PG,1570343749,-10.62,150.67,76.38,91,10.4,Rain,87
bara,NG,1570343750,10.41,10.6,72.08,87,4.45,Clouds,25
agadez,NE,1570343750,16.97,7.99,79.72,50,4.7,Clear,0
huarmey,PE,1570343750,-10.07,-78.15,60.29,93,13.51,Clouds,33
miles city,US,1570343750,46.41,-105.84,43.54,75,12.75,Clear,1
ouidah,BJ,1570343751,6.37,2.09,75.2,100,1.12,Clouds,40
kralovice,CZ,1570343751,49.98,13.49,41.99,87,3.36,Clouds,90
basco,US,1570343751,40.33,-91.2,55.45,93,5.82,Clear,1
qeshm,IR,1570343751,26.96,56.27,88.74,74,6.93,Clouds,20
milkovo,BG,1570343751,41.53,24.68,58.35,87,6.93,Clouds,20
dire,ET,1570343752,9.18,38.92,66.2,42,11.41,Clouds,40
zeya,RU,1570343752,53.74,127.27,50.4,57,12.59,Clouds,93
nemuro,JP,1570343752,43.32,145.57,53.6,54,6.93,Clouds,20
kavieng,PG,1570343752,-2.57,150.8,84.53,70,8.43,Clear,5
the valley,AI,1570343753,18.22,-63.06,83.35,74,6.93,Clouds,20
hovd,NO,1570343753,63.83,10.7,32.27,64,11.41,Clear,0
belyy yar,RU,1570343753,53.6,91.39,62.6,42,4.47,Rain,87
bowen,AU,1570343753,-20.01,148.25,80.29,39,11.41,Clouds,15
shelburne,CA,1570343754,44.08,-80.2,51.91,87,10.29,Clear,1
nanortalik,GL,1570343754,60.14,-45.24,39.6,84,1.66,Clear,10
chulman,RU,1570343754,56.84,124.9,36.24,93,4.98,Clouds,100
sitka,US,1570343754,37.17,-99.65,50.97,73,10.0,Clear,0
kontagora,NG,1570343754,10.4,5.47,71.21,97,4.32,Rain,100
souillac,FR,1570343755,45.6,-0.6,58.44,93,6.93,Clear,0
norman wells,CA,1570343755,65.28,-126.83,33.8,100,8.05,Clouds,90
ashland,US,1570343625,38.48,-82.64,67.37,68,6.93,Clear,1
los llanos de aridane,ES,1570343755,28.66,-17.92,70.12,73,16.11,Clouds,75
gorontalo,ID,1570343727,0.54,123.06,84.44,68,11.16,Rain,0
nova cruz,BR,1570343756,-6.48,-35.43,77.0,83,9.17,Clouds,40
maple valley,US,1570343756,47.37,-122.04,47.5,81,3.0,Clouds,40
anito,PH,1570343756,12.45,125.29,87.05,62,7.9,Clouds,57
sonoita,US,1570343756,31.68,-110.66,66.51,48,8.05,Clear,1
engis,BE,1570343757,50.58,5.4,48.2,93,8.05,Rain,75
pisco,PE,1570343757,-13.71,-76.2,61.72,82,3.36,Smoke,90
amatan,MX,1570343757,17.37,-92.82,72.26,93,4.36,Clouds,90
comodoro rivadavia,AR,1570343757,-45.87,-67.48,44.6,75,2.24,Clear,0
arona,IT,1570343757,45.76,8.56,52.57,100,6.93,Mist,4
springfield,US,1570343715,42.1,-72.59,38.41,78,3.15,Clouds,75
belgrade,RS,1570343758,44.82,20.46,50.0,81,14.99,Clouds,75
roberval,CA,1570343758,48.51,-72.22,36.75,77,9.17,Clear,5
akoupe,CI,1570343758,6.39,-3.9,69.52,99,1.77,Clouds,79
zeerust,ZA,1570343758,-25.54,26.07,77.0,25,13.87,Clear,0
mul,IN,1570343759,20.07,79.68,88.71,65,1.5,Clear,5
quatre cocos,MU,1570343759,-20.21,57.76,79.21,65,9.17,Clouds,75
sampit,ID,1570343759,-2.54,112.95,87.92,57,5.84,Rain,71
maniitsoq,GL,1570343759,65.42,-52.9,35.52,75,32.37,Clouds,45
shelbyville,US,1570343759,39.41,-88.79,61.59,82,10.29,Clouds,40
poddorye,RU,1570343760,57.47,31.12,33.2,88,4.61,Clouds,65
dudinka,RU,1570343760,69.41,86.18,35.6,69,11.18,Clouds,75
montmagny,FR,1570343760,48.97,2.34,56.19,87,8.05,Rain,97
tashtyp,RU,1570343760,52.8,89.89,56.85,49,6.21,Clouds,96
tabory,PL,1570343760,53.89,19.53,35.13,89,0.67,Clear,1
amboasary,MG,1570343761,-25.04,46.38,75.2,83,20.8,Clouds,40
almaznyy,RU,1570343761,48.03,40.04,59.0,82,17.9,Clouds,40
san vicente,EC,1570343761,-0.59,-80.41,72.27,86,12.44,Clouds,96
port-gentil,GA,1570343761,-0.72,8.78,78.8,88,8.05,Clouds,75
bubaque,GW,1570343762,11.28,-15.83,81.45,77,8.93,Clouds,98
guerrero negro,MX,1570343762,27.97,-114.04,69.38,75,12.86,Clear,0
pakaur,IN,1570343583,24.64,87.92,88.13,59,5.91,Clear,6
hami,CN,1570343762,42.84,93.51,67.52,15,3.15,Clear,5
acapulco,MX,1570343763,16.86,-99.88,80.6,88,3.36,Clouds,40
chitral,PK,1570343763,35.85,71.79,36.13,37,7.56,Clouds,23
straumen,NO,1570343763,63.87,11.3,29.37,79,9.17,Clear,0
bandarbeyla,SO,1570343763,9.49,50.81,84.26,56,13.65,Clouds,40
rozkishne,UA,1570343763,48.5,37.59,51.59,75,12.29,Clouds,100
port blair,IN,1570343764,11.67,92.75,87.8,66,4.7,Clouds,40
traverse city,US,1570343764,44.76,-85.62,53.64,87,8.05,Rain,90
kruisfontein,ZA,1570343764,-34.0,24.73,60.23,77,18.88,Clouds,32
viedma,AR,1570343764,-40.81,-62.99,46.28,56,15.24,Clouds,62
mackenzie,CA,1570343765,55.34,-123.09,44.6,88,8.05,Clouds,90
bambous virieux,MU,1570343765,-20.34,57.76,79.14,65,9.17,Clouds,75
esna,RO,1570343765,45.2,27.57,48.2,87,9.17,Clouds,75
saint-pierre,FR,1570343765,48.95,4.24,55.47,100,10.29,Clouds,90
chepareria,KE,1570343765,1.32,35.2,72.56,61,0.76,Clear,2
vila do maio,CV,1570343766,15.13,-23.22,78.8,78,10.29,Clouds,20
belaya gora,RU,1570343766,68.54,146.19,26.68,70,6.53,Clouds,98
sinegorye,RU,1570343766,62.09,150.53,11.79,89,1.16,Clouds,30
avera,US,1570343766,33.19,-82.53,65.59,82,8.05,Clouds,90
awbari,LY,1570343766,26.59,12.77,69.63,30,6.55,Clear,5
am timan,TD,1570343767,11.04,20.28,72.76,91,2.01,Clouds,100
mayo,CA,1570343767,63.59,-135.9,26.6,79,6.93,Clouds,90
paoua,CF,1570343767,7.24,16.43,70.04,97,1.57,Rain,100
monteagudo,BO,1570343767,-19.8,-63.96,50.85,92,6.33,Rain,100
lagoa,PT,1570343768,37.14,-8.45,60.64,59,8.05,Clear,0
touros,BR,1570343768,-5.2,-35.46,71.6,88,3.36,Clouds,40
kartaly,RU,1570343768,53.05,60.64,55.84,32,5.68,Clear,0
traipu,BR,1570343768,-9.97,-37.0,65.74,95,2.95,Clear,0
aksu,KZ,1570343769,52.04,76.93,68.0,42,2.24,Clear,0
manitouwadge,CA,1570343769,49.12,-85.84,49.52,92,16.26,Rain,100
itoman,JP,1570343769,26.12,127.67,84.96,69,9.17,Clouds,75
roald,NO,1570343769,62.58,6.12,33.17,58,10.29,Clear,0
northam,AU,1570343770,-31.65,116.67,69.8,46,4.7,Clouds,75
kysyl-syr,RU,1570343770,63.9,122.77,31.29,92,12.15,Clouds,100
tatarka,BY,1570343770,53.25,28.82,36.96,80,11.19,Clouds,98
bintulu,MY,1570343770,3.17,113.03,87.31,74,10.29,Clouds,75
los mochis,MX,1570343770,25.79,-108.99,79.05,92,2.77,Clear,0
disraeli,CA,1570343771,45.9,-71.36,30.42,100,3.36,Clear,1
glasgow,GB,1570343771,55.86,-4.24,48.76,93,10.29,Rain,100
ostrovnoy,RU,1570343771,68.05,39.51,32.64,83,8.48,Snow,96
azoyu,MX,1570343771,16.72,-98.73,67.29,97,1.41,Rain,100
karratha,AU,1570343772,-20.74,116.85,98.19,13,15.88,Clear,0
rawson,AR,1570343772,-43.3,-65.11,52.46,58,9.74,Clear,6
rio tuba,PH,1570343772,8.51,117.43,84.15,66,4.85,Clouds,59
petatlan,MX,1570343772,17.52,-101.27,80.84,78,5.91,Clear,0
yarada,IN,1570343773,17.65,83.27,89.6,62,6.93,Haze,20
kitgum,UG,1570343773,3.3,32.88,74.67,78,0.59,Rain,82
vanimo,PG,1570343773,-2.67,141.3,84.64,64,6.62,Clouds,63
aswan,EG,1570343773,24.09,32.9,84.2,17,8.05,Clear,0
pochutla,MX,1570343774,15.74,-96.47,73.99,93,3.09,Rain,100
nome,US,1570343774,30.04,-94.42,74.39,94,3.38,Mist,1
camacha,PT,1570343774,33.08,-16.33,70.83,77,10.29,Clouds,40
telsiai,LT,1570343774,55.98,22.25,32.84,91,4.5,Clouds,55
akita,JP,1570343774,39.72,140.1,67.01,56,10.29,Clouds,20
port hardy,CA,1570343775,50.7,-127.42,42.8,93,1.39,Clouds,20
puerto rico,CO,1570343775,1.91,-75.15,56.0,95,2.08,Clouds,62
sinnamary,GF,1570343775,5.38,-52.96,81.47,79,12.71,Clear,0
pangody,RU,1570343527,65.85,74.49,47.72,93,19.53,Rain,100
tazovskiy,RU,1570343775,67.47,78.7,35.72,94,27.58,Rain,100
naifaru,MV,1570343776,5.44,73.37,82.05,72,2.24,Rain,66
hithadhoo,MV,1570343776,-0.6,73.08,81.54,78,16.17,Rain,79
warren,US,1570343626,42.48,-83.03,57.81,77,9.17,Rain,75
blackwater,GB,1570343776,51.33,-0.78,55.13,93,9.17,Rain,84
elko,US,1570343776,40.83,-115.76,40.53,48,4.7,Clear,1
port macquarie,AU,1570343777,-31.43,152.91,71.11,56,17.22,Clouds,94
ust-maya,RU,1570343777,60.42,134.54,37.19,59,6.17,Clouds,77
